image,recall,rmse,psnr,ssim,fsim,issm,sre,sam,uiq,inference_time
189,0.6408,0.0064,43.8118,0.8515,0.4065,0.0,42.1721,0.0012,0.0077,1.1124
190,0.3789,0.0119,38.4647,0.6995,0.3778,0.0,44.5018,0.001,0.0046,1.0973
191,0.4471,0.0065,43.767,0.8243,0.3487,0.0,42.3537,0.001,0.0043,1.1118
192,0.3749,0.0096,40.3742,0.7548,0.3876,0.0,43.7732,0.0011,0.0035,1.1075
193,0.4078,0.0073,42.6898,0.7922,0.3741,0.0,43.5182,0.0012,0.0045,1.0929
194,0.4705,0.0065,43.6857,0.8145,0.3945,0.0,41.7767,0.0006,0.0058,1.1149
195,0.7313,0.0059,44.6266,0.8827,0.3896,0.0,41.5814,0.0011,0.0072,1.1141
196,0.4194,0.0097,40.2813,0.7669,0.3896,0.0,44.2932,0.0012,0.0102,1.092
197,0.3717,0.0108,39.3064,0.7481,0.4035,0.0,44.144,0.0012,0.005,1.1168
198,0.4099,0.0072,42.8933,0.7913,0.3667,0.0,43.1065,0.001,0.0042,1.1131
199,0.5419,0.0067,43.4817,0.8255,0.3641,0.0,42.6205,0.0011,0.0059,1.0933
200,0.3934,0.0077,42.2852,0.7692,0.364,0.0,43.0349,0.0014,0.0082,1.1169
Total,0.5318,0.0071,43.069,0.8215,0.3869,0.0,42.5623,0.0011,0.0065,1.1441
